Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2019,2019,2019
Kabupaten Pacitan,271113,284191,555304
Kabupaten Ponorogo,435618,435752,871370
Kabupaten Trenggalek,346008,350287,696295
Kabupaten Tulungagung,506702,532582,1039284
Kabupaten Blitar,581481,579196,1160677
Kabupaten Kediri,790210,784062,1574272
Kabupaten Malang,1310100,1296104,2606204
Kabupaten Lumajang,509010,533385,1042395
Kabupaten Jember,1204675,1245993,2450668
Kabupaten Banyuwangi,803195,810796,1613991
Kabupaten Bondowoso,377776,397939,775715
Kabupaten Situbondo,333198,349780,682978
Kabupaten Probolinggo,570206,598297,1168503
Kabupaten Pasuruan,806272,821124,1627396
Kabupaten Sidoarjo,1130269,1119207,2249476
Kabupaten Mojokerto,558375,559313,1117688
Kabupaten Jombang,628799,635015,1263814
Kabupaten Nganjuk,524282,530329,1054611
Kabupaten Madiun,336972,345712,682684
Kabupaten Magetan,306376,322601,628977
Kabupaten Ngawi,405814,424294,830108
Kabupaten Bojonegoro,617988,631704,1249692
Kabupaten Tuban,579389,593401,1172790
Kabupaten Lamongan,577871,611235,1189106
Kabupaten Gresik,650973,661908,1312881
Kabupaten Bangkalan,471272,515400,986672
Kabupaten Sampang,477214,501661,978875
Kabupaten Pamekasan,427801,452191,879992
Kabupaten Sumenep,517987,570923,1088910
Kota Kediri,143320,144089,287409
Kota Blitar,70378,71498,141876
Kota Malang,429416,441266,870682
Kota Probolinggo,116817,120391,237208
Kota Pasuruan,99403,101019,200422
Kota Mojokerto,63484,65530,129014
Kota Madiun,85610,91397,177007
Kota Surabaya,1430988,1465207,2896195
Kota Batu,104414,103076,207490
Jawa Timur,19600776,20097855,39698631
