kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_PENYAKIT_MENULAR
3501,KABUPATEN PACITAN,2018,292
3502,KABUPATEN PONOROGO,2018,479
3503,KABUPATEN TRENGGALEK,2018,285
3504,KABUPATEN TULUNGAGUNG,2018,507
3505,KABUPATEN BLITAR,2018,392
3506,KABUPATEN KEDIRI,2018,516
3507,KABUPATEN MALANG,2018,803
3508,KABUPATEN LUMAJANG,2018,222
3509,KABUPATEN JEMBER,2018,611
3510,KABUPATEN BANYUWANGI,2018,74
3511,KABUPATEN BONDOWOSO,2018,304
3512,KABUPATEN SITUBONDO,2018,238
3513,KABUPATEN PROBOLINGGO,2018,283
3514,KABUPATEN PASURUAN,2018,449
3515,KABUPATEN SIDOARJO,2018,372
3516,KABUPATEN MOJOKERTO,2018,473
3517,KABUPATEN JOMBANG,2018,612
3518,KABUPATEN NGANJUK,2018,282
3519,KABUPATEN MADIUN,2018,138
3520,KABUPATEN MAGETAN,2018,186
3521,KABUPATEN NGAWI,2018,874
3522,KABUPATEN BOJONEGORO,2018,658
3523,KABUPATEN TUBAN,2018,348
3524,KABUPATEN LAMONGAN,2018,245
3525,KABUPATEN GRESIK,2018,296
3526,KABUPATEN BANGKALAN,2018,341
3527,KABUPATEN SAMPANG,2018,546
3528,KABUPATEN PAMEKASAN,2018,374
3529,KABUPATEN SUMENEP,2018,680
3571,KOTA KEDIRI,2018,81
3572,KOTA BLITAR,2018,147
3573,KOTA MALANG,2018,246
3574,KOTA PROBOLINGGO,2018,64
3575,KOTA PASURUAN,2018,60
3576,KOTA MOJOKERTO,2018,31
3577,KOTA MADIUN,2018,99
3578,KOTA SURABAYA,2018,656
3579,KOTA BATU,2018,80
3501,KABUPATEN PACITAN,2019,670
3502,KABUPATEN PONOROGO,2019,1842
3503,KABUPATEN TRENGGALEK,2019,613
3504,KABUPATEN TULUNGAGUNG,2019,1288
3505,KABUPATEN BLITAR,2019,856
3506,KABUPATEN KEDIRI,2019,1668
3507,KABUPATEN MALANG,2019,1970
3508,KABUPATEN LUMAJANG,2019,1097
3509,KABUPATEN JEMBER,2019,2083
3510,KABUPATEN BANYUWANGI,2019,789
3511,KABUPATEN BONDOWOSO,2019,541
3512,KABUPATEN SITUBONDO,2019,831
3513,KABUPATEN PROBOLINGGO,2019,649
3514,KABUPATEN PASURUAN,2019,819
3515,KABUPATEN SIDOARJO,2019,935
3516,KABUPATEN MOJOKERTO,2019,456
3517,KABUPATEN JOMBANG,2019,645
3518,KABUPATEN NGANJUK,2019,554
3519,KABUPATEN MADIUN,2019,434
3520,KABUPATEN MAGETAN,2019,568
3521,KABUPATEN NGAWI,2019,1519
3522,KABUPATEN BOJONEGORO,2019,691
3523,KABUPATEN TUBAN,2019,690
3524,KABUPATEN LAMONGAN,2019,631
