,kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_PENDUDUK
0,3501,KABUPATEN PACITAN,2018,592938
1,3502,KABUPATEN PONOROGO,2018,962125
2,3503,KABUPATEN TRENGGALEK,2018,748432
3,3504,KABUPATEN TULUNGAGUNG,2018,1109547
4,3505,KABUPATEN BLITAR,2018,1230159
5,3506,KABUPATEN KEDIRI,2018,1647835
6,3507,KABUPATEN MALANG,2018,2492110
7,3508,KABUPATEN LUMAJANG,2018,1124756
8,3509,KABUPATEN JEMBER,2018,2556614
9,3510,KABUPATEN BANYUWANGI,2018,1733027
10,3511,KABUPATEN BONDOWOSO,2018,793271
11,3512,KABUPATEN SITUBONDO,2018,686918
12,3513,KABUPATEN PROBOLINGGO,2018,1124989
13,3514,KABUPATEN PASURUAN,2018,1584929
14,3515,KABUPATEN SIDOARJO,2018,1882435
15,3516,KABUPATEN MOJOKERTO,2018,1120249
16,3517,KABUPATEN JOMBANG,2018,1325122
17,3518,KABUPATEN NGANJUK,2018,1112142
18,3519,KABUPATEN MADIUN,2018,740816
19,3520,KABUPATEN MAGETAN,2018,691939
20,3521,KABUPATEN NGAWI,2018,906929
21,3522,KABUPATEN BOJONEGORO,2018,1325739
22,3523,KABUPATEN TUBAN,2018,1198732
23,3524,KABUPATEN LAMONGAN,2018,1361312
24,3525,KABUPATEN GRESIK,2018,1265268
25,3526,KABUPATEN BANGKALAN,2018,1066890
26,3527,KABUPATEN SAMPANG,2018,854470
27,3528,KABUPATEN PAMEKASAN,2018,820939
28,3529,KABUPATEN SUMENEP,2018,1130529
29,3571,KOTA KEDIRI,2018,292009
30,3572,KOTA BLITAR,2018,156733
31,3573,KOTA MALANG,2018,847378
32,3574,KOTA PROBOLINGGO,2018,238250
33,3575,KOTA PASURUAN,2018,209139
34,3576,KOTA MOJOKERTO,2018,143826
35,3577,KOTA MADIUN,2018,205541
36,3578,KOTA SURABAYA,2018,2915910
37,3579,KOTA BATU,2018,209933
38,3501,KABUPATEN PACITAN,2019,596546
39,3502,KABUPATEN PONOROGO,2019,971193
40,3503,KABUPATEN TRENGGALEK,2019,750251
41,3504,KABUPATEN TULUNGAGUNG,2019,1118814
42,3505,KABUPATEN BLITAR,2019,1246653
43,3506,KABUPATEN KEDIRI,2019,1662508
44,3507,KABUPATEN MALANG,2019,2549807
45,3508,KABUPATEN LUMAJANG,2019,1128777
46,3509,KABUPATEN JEMBER,2019,2568884
47,3510,KABUPATEN BANYUWANGI,2019,1747663
48,3511,KABUPATEN BONDOWOSO,2019,797592
49,3512,KABUPATEN SITUBONDO,2019,691622
50,3513,KABUPATEN PROBOLINGGO,2019,1138332
51,3514,KABUPATEN PASURUAN,2019,1592078
52,3515,KABUPATEN SIDOARJO,2019,1926588
53,3516,KABUPATEN MOJOKERTO,2019,1138429
54,3517,KABUPATEN JOMBANG,2019,1343212
55,3518,KABUPATEN NGANJUK,2019,1123463
56,3519,KABUPATEN MADIUN,2019,749066
57,3520,KABUPATEN MAGETAN,2019,699078
58,3521,KABUPATEN NGAWI,2019,913553
59,3522,KABUPATEN BOJONEGORO,2019,1335840
60,3523,KABUPATEN TUBAN,2019,1211453
61,3524,KABUPATEN LAMONGAN,2019,1373390
62,3525,KABUPATEN GRESIK,2019,1275063
63,3526,KABUPATEN BANGKALAN,2019,1076333
64,3527,KABUPATEN SAMPANG,2019,860649
65,3528,KABUPATEN PAMEKASAN,2019,827005
66,3529,KABUPATEN SUMENEP,2019,1134129
67,3571,KOTA KEDIRI,2019,294950
68,3572,KOTA BLITAR,2019,157880
69,3573,KOTA MALANG,2019,860452
70,3574,KOTA PROBOLINGGO,2019,240589
71,3575,KOTA PASURUAN,2019,211008
72,3576,KOTA MOJOKERTO,2019,138943
73,3577,KOTA MADIUN,2019,206831
74,3578,KOTA SURABAYA,2019,2950230
75,3579,KOTA BATU,2019,212296
76,3501,KABUPATEN PACITAN,2020,597473
77,3502,KABUPATEN PONOROGO,2020,977783
78,3503,KABUPATEN TRENGGALEK,2020,753820
79,3504,KABUPATEN TULUNGAGUNG,2020,1126543
80,3505,KABUPATEN BLITAR,2020,1249190
81,3506,KABUPATEN KEDIRI,2020,1673569
82,3507,KABUPATEN MALANG,2020,2585426
83,3508,KABUPATEN LUMAJANG,2020,1117636
84,3509,KABUPATEN JEMBER,2020,2578949
85,3510,KABUPATEN BANYUWANGI,2020,1754719
86,3511,KABUPATEN BONDOWOSO,2020,801425
87,3512,KABUPATEN SITUBONDO,2020,694225
88,3513,KABUPATEN PROBOLINGGO,2020,1146131
89,3514,KABUPATEN PASURUAN,2020,1603550
90,3515,KABUPATEN SIDOARJO,2020,1940056
91,3516,KABUPATEN MOJOKERTO,2020,1146187
92,3517,KABUPATEN JOMBANG,2020,1350105
93,3518,KABUPATEN NGANJUK,2020,1128924
94,3519,KABUPATEN MADIUN,2020,754165
95,3520,KABUPATEN MAGETAN,2020,689210
96,3521,KABUPATEN NGAWI,2020,916022
97,3522,KABUPATEN BOJONEGORO,2020,1343659
98,3523,KABUPATEN TUBAN,2020,1219609
99,3524,KABUPATEN LAMONGAN,2020,1379628
100,3525,KABUPATEN GRESIK,2020,1283826
101,3526,KABUPATEN BANGKALAN,2020,1082656
102,3527,KABUPATEN SAMPANG,2020,882242
