kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,PELAYANAN_NON_RAWAT_INAP,PELAYANAN_RAWAT_INAP
35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,9,15
35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,12,19
35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,3,19
35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,14,18
35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,6,18
35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,29,8
35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,0,39
35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,3,22
35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,33,17
35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,26,19
35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,0,25
35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,1,16
35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,13,20
35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,16,17
35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,12,14
35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,10,17
35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,14,20
35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,6,14
35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,17,9
35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,5,17
35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,16,8
35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,10,26
35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,26,7
35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,1,32
35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,16,16
