kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_penduduk
3501,Kabupaten Pacitan,2018,554394
3502,Kabupaten Ponorogo,2018,870705
3503,Kabupaten Trenggalek,2018,694902
3504,Kabupaten Tulungagung,2018,1035290
3505,Kabupaten Blitar,2018,1157500
3506,Kabupaten Kediri,2018,1568113
3507,Kabupaten Malang,2018,2591795
3508,Kabupaten Lumajang,2018,1039794
3509,Kabupaten Jember,2018,2440714
3510,Kabupaten Banyuwangi,2018,1609677
3511,Kabupaten Bondowoso,2018,772297
3512,Kabupaten Situbondo,2018,679993
3513,Kabupaten Probolinggo,2018,1162092
3514,Kabupaten Pasuruan,2018,1616578
3515,Kabupaten Sidoarjo,2018,2216804
3516,Kabupaten Mojokerto,2018,1108718
3517,Kabupaten Jombang,2018,1258618
3518,Kabupaten Nganjuk,2018,1051900
3519,Kabupaten Madiun,2018,681394
3520,Kabupaten Magetan,2018,628924
3521,Kabupaten Ngawi,2018,830090
3522,Kabupaten Bojonegoro,2018,1246927
3523,Kabupaten Tuban,2018,1168277
3524,Kabupaten Lamongan,2018,1188913
3525,Kabupaten Gresik,2018,1299024
3526,Kabupaten Bangkalan,2018,978892
3527,Kabupaten Sampang,2018,968520
3528,Kabupaten Pamekasan,2018,871497
3529,Kabupaten Sumenep,2018,1085227
3571,Kota Kediri,2018,285582
3572,Kota Blitar,2018,140971
3573,Kota Malang,2018,866118
3574,Kota Probolinggo,2018,235211
3575,Kota Pasuruan,2018,199078
3576,Kota Mojokerto,2018,128282
3577,Kota Madiun,2018,176697
3578,Kota Surabaya,2018,2885555
3579,Kota Batu,2018,205788
3501,Kabupaten Pacitan,2019,555304
3502,Kabupaten Ponorogo,2019,871370
3503,Kabupaten Trenggalek,2019,696295
3504,Kabupaten Tulungagung,2019,1039284
3505,Kabupaten Blitar,2019,1160677
3506,Kabupaten Kediri,2019,1574272
3507,Kabupaten Malang,2019,2606204
3508,Kabupaten Lumajang,2019,1042395
3509,Kabupaten Jember,2019,2450668
3510,Kabupaten Banyuwangi,2019,1613991
3511,Kabupaten Bondowoso,2019,775715
3512,Kabupaten Situbondo,2019,682978
3513,Kabupaten Probolinggo,2019,1168503
