kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_BIDAN,JUMLAH_DOKTER,JUMLAH_PERAWAT
3501,KABUPATEN PACITAN,2018,347,141,619
3502,KABUPATEN PONOROGO,2018,519,129,990
3503,KABUPATEN TRENGGALEK,2018,384,227,792
3504,KABUPATEN TULUNGAGUNG,2018,609,263,1098
3505,KABUPATEN BLITAR,2018,540,233,837
3506,KABUPATEN KEDIRI,2018,709,380,981
3507,KABUPATEN MALANG,2018,573,169,1291
3508,KABUPATEN LUMAJANG,2018,416,105,990
3509,KABUPATEN JEMBER,2018,1060,150,2010
3510,KABUPATEN BANYUWANGI,2018,953,207,1342
3511,KABUPATEN BONDOWOSO,2018,714,144,943
3512,KABUPATEN SITUBONDO,2018,333,87,539
3513,KABUPATEN PROBOLINGGO,2018,817,82,1053
3514,KABUPATEN PASURUAN,2018,671,122,837
3515,KABUPATEN SIDOARJO,2018,1029,937,3164
3516,KABUPATEN MOJOKERTO,2018,636,136,1176
3517,KABUPATEN JOMBANG,2018,1281,247,1633
3518,KABUPATEN NGANJUK,2018,665,248,874
3519,KABUPATEN MADIUN,2018,371,94,706
3520,KABUPATEN MAGETAN,2018,542,212,873
3521,KABUPATEN NGAWI,2018,667,213,1072
3522,KABUPATEN BOJONEGORO,2018,897,200,1107
3523,KABUPATEN TUBAN,2018,487,203,961
3524,KABUPATEN LAMONGAN,2018,990,200,1969
3525,KABUPATEN GRESIK,2018,782,208,1224
3526,KABUPATEN BANGKALAN,2018,899,130,895
3527,KABUPATEN SAMPANG,2018,559,95,858
3528,KABUPATEN PAMEKASAN,2018,670,109,1035
3529,KABUPATEN SUMENEP,2018,672,75,1060
3571,KOTA KEDIRI,2018,369,160,1231
3572,KOTA BLITAR,2018,155,127,553
3573,KOTA MALANG,2018,686,679,2929
3574,KOTA PROBOLINGGO,2018,162,159,654
3575,KOTA PASURUAN,2018,202,103,439
3576,KOTA MOJOKERTO,2018,105,70,290
3577,KOTA MADIUN,2018,263,291,1051
3578,KOTA SURABAYA,2018,1264,786,6872
3579,KOTA BATU,2018,87,95,309
3501,KABUPATEN PACITAN,2019,346,99,624
3502,KABUPATEN PONOROGO,2019,565,108,1218
3503,KABUPATEN TRENGGALEK,2019,395,145,917
3504,KABUPATEN TULUNGAGUNG,2019,635,232,1658
3505,KABUPATEN BLITAR,2019,427,174,870
3506,KABUPATEN KEDIRI,2019,677,195,1051
3507,KABUPATEN MALANG,2019,951,344,2661
3508,KABUPATEN LUMAJANG,2019,541,121,1172
3509,KABUPATEN JEMBER,2019,1065,179,2039
3510,KABUPATEN BANYUWANGI,2019,912,308,1693
3511,KABUPATEN BONDOWOSO,2019,603,301,1060
3512,KABUPATEN SITUBONDO,2019,330,102,547
3513,KABUPATEN PROBOLINGGO,2019,675,102,964
3514,KABUPATEN PASURUAN,2019,708,165,1035
3515,KABUPATEN SIDOARJO,2019,1021,459,2856
3516,KABUPATEN MOJOKERTO,2019,606,395,1558
3517,KABUPATEN JOMBANG,2019,1197,239,1662
3518,KABUPATEN NGANJUK,2019,729,199,1156
3519,KABUPATEN MADIUN,2019,404,91,764
3520,KABUPATEN MAGETAN,2019,548,88,712
3521,KABUPATEN NGAWI,2019,689,161,1114
3522,KABUPATEN BOJONEGORO,2019,1020,214,1210
3523,KABUPATEN TUBAN,2019,491,100,860
3524,KABUPATEN LAMONGAN,2019,931,191,1714
3525,KABUPATEN GRESIK,2019,801,210,1146
3526,KABUPATEN BANGKALAN,2019,1095,126,1029
3527,KABUPATEN SAMPANG,2019,624,87,913
3528,KABUPATEN PAMEKASAN,2019,692,124,1131
3529,KABUPATEN SUMENEP,2019,1027,185,1244
3571,KOTA KEDIRI,2019,390,173,1285
3572,KOTA BLITAR,2019,159,104,601
3573,KOTA MALANG,2019,727,725,3043
3574,KOTA PROBOLINGGO,2019,187,137,561
3575,KOTA PASURUAN,2019,234,90,478
3576,KOTA MOJOKERTO,2019,107,68,293
3577,KOTA MADIUN,2019,264,152,1066
3578,KOTA SURABAYA,2019,1421,896,6999
3579,KOTA BATU,2019,110,98,411
3501,KABUPATEN PACITAN,2020,374,89,629
3502,KABUPATEN PONOROGO,2020,609,147,1370
3503,KABUPATEN TRENGGALEK,2020,398,98,894
3504,KABUPATEN TULUNGAGUNG,2020,609,231,1463
3505,KABUPATEN BLITAR,2020,561,184,848
3506,KABUPATEN KEDIRI,2020,828,256,1315
3507,KABUPATEN MALANG,2020,862,345,2735
3508,KABUPATEN LUMAJANG,2020,590,141,1343
3509,KABUPATEN JEMBER,2020,1082,282,2305
3510,KABUPATEN BANYUWANGI,2020,1093,316,1759
3511,KABUPATEN BONDOWOSO,2020,621,88,1071
3512,KABUPATEN SITUBONDO,2020,668,96,908
3513,KABUPATEN PROBOLINGGO,2020,717,110,999
3514,KABUPATEN PASURUAN,2020,750,184,1217
3515,KABUPATEN SIDOARJO,2020,987,589,3028
3516,KABUPATEN MOJOKERTO,2020,654,192,1369
3517,KABUPATEN JOMBANG,2020,1150,248,1744
3518,KABUPATEN NGANJUK,2020,774,202,1194
3519,KABUPATEN MADIUN,2020,425,104,776
3520,KABUPATEN MAGETAN,2020,530,95,686
3521,KABUPATEN NGAWI,2020,637,181,1156
3522,KABUPATEN BOJONEGORO,2020,997,221,1348
3523,KABUPATEN TUBAN,2020,491,143,923
3524,KABUPATEN LAMONGAN,2020,970,219,1863
3525,KABUPATEN GRESIK,2020,900,297,1700
3526,KABUPATEN BANGKALAN,2020,993,110,1007
3527,KABUPATEN SAMPANG,2020,477,79,468
3528,KABUPATEN PAMEKASAN,2020,665,133,1145
3529,KABUPATEN SUMENEP,2020,969,88,1112
3571,KOTA KEDIRI,2020,445,195,1427
3572,KOTA BLITAR,2020,156,125,683
