kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,pelayanan_non_rawat_inap,pelayanan_rawat_inap,jumlah_bidan,jumlah_dokter,jumlah_perawat,jumlah_penyakit_tidak_menular,jumlah_penyakit_menular,jumlah_penduduk
35,JAWA TIMUR,3501,PACITAN,2018,9,15,347,141,619,41173,292,592938
35,JAWA TIMUR,3502,PONOROGO,2018,12,19,519,129,990,46778,479,962125
35,JAWA TIMUR,3503,TRENGGALEK,2018,3,19,384,227,792,40464,285,748432
35,JAWA TIMUR,3504,TULUNGAGUNG,2018,14,18,609,263,1098,114929,507,1109547
35,JAWA TIMUR,3505,BLITAR,2018,6,18,540,233,837,65232,392,1230159
35,JAWA TIMUR,3506,KEDIRI,2018,29,8,709,380,981,43288,516,1647835
35,JAWA TIMUR,3507,MALANG,2018,0,39,573,169,1291,296972,803,2492110
35,JAWA TIMUR,3508,LUMAJANG,2018,3,22,416,105,990,64334,222,1124756
35,JAWA TIMUR,3509,JEMBER,2018,33,17,1060,150,2010,81963,611,2556614
35,JAWA TIMUR,3510,BANYUWANGI,2018,26,19,953,207,1342,175108,74,1733027
35,JAWA TIMUR,3511,BONDOWOSO,2018,0,25,714,144,943,92623,304,793271
35,JAWA TIMUR,3512,SITUBONDO,2018,1,16,333,87,539,71467,238,686918
35,JAWA TIMUR,3513,PROBOLINGGO,2018,13,20,817,82,1053,45539,283,1124989
35,JAWA TIMUR,3514,PASURUAN,2018,16,17,671,122,837,294756,449,1584929
35,JAWA TIMUR,3515,SIDOARJO,2018,12,14,1029,937,3164,194441,372,1882435
35,JAWA TIMUR,3516,MOJOKERTO,2018,10,17,636,136,1176,46130,473,1120249
35,JAWA TIMUR,3517,JOMBANG,2018,14,20,1281,247,1633,53299,612,1325122
35,JAWA TIMUR,3518,NGANJUK,2018,6,14,665,248,874,74774,282,1112142
35,JAWA TIMUR,3519,MADIUN,2018,17,9,371,94,706,90553,138,740816
35,JAWA TIMUR,3520,MAGETAN,2018,5,17,542,212,873,105269,186,691939
35,JAWA TIMUR,3521,NGAWI,2018,16,8,667,213,1072,158925,874,906929
35,JAWA TIMUR,3522,BOJONEGORO,2018,10,26,897,200,1107,176376,658,1325739
35,JAWA TIMUR,3523,TUBAN,2018,26,7,487,203,961,80538,348,1198732
35,JAWA TIMUR,3524,LAMONGAN,2018,1,32,990,200,1969,103939,245,1361312
35,JAWA TIMUR,3525,GRESIK,2018,16,16,782,208,1224,92798,296,1265268
35,JAWA TIMUR,3526,BANGKALAN,2018,0,22,899,130,895,54345,341,1066890
35,JAWA TIMUR,3527,SAMPANG,2018,3,18,559,95,858,28090,546,854470
35,JAWA TIMUR,3528,PAMEKASAN,2018,0,20,670,109,1035,87549,374,820939
