id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,296894,JIWA,2018
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S1,JUMLAH PENDUDUK PEREMPUAN,294230,JIWA,2018
2,32,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,479382,JIWA,2018
2,42,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,480891,JIWA,2018
3,53,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,375248,JIWA,2018
3,63,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S1,JUMLAH PENDUDUK PEREMPUAN,371754,JIWA,2018
4,74,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,554414,JIWA,2018
4,84,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018-S1,JUMLAH PENDUDUK PEREMPUAN,554260,JIWA,2018
5,95,35,JAWA TIMUR,3572,KOTA BLITAR,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,623414,JIWA,2018
5,105,35,JAWA TIMUR,3572,KOTA BLITAR,2018-S1,JUMLAH PENDUDUK PEREMPUAN,604695,JIWA,2018
6,116,35,JAWA TIMUR,3571,KOTA KEDIRI,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,821148,JIWA,2018
6,126,35,JAWA TIMUR,3571,KOTA KEDIRI,2018-S1,JUMLAH PENDUDUK PEREMPUAN,806176,JIWA,2018
7,137,35,JAWA TIMUR,3573,KOTA MALANG,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,1255508,JIWA,2018
7,147,35,JAWA TIMUR,3573,KOTA MALANG,2018-S1,JUMLAH PENDUDUK PEREMPUAN,1219766,JIWA,2018
8,158,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,557283,JIWA,2018
8,168,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018-S1,JUMLAH PENDUDUK PEREMPUAN,565625,JIWA,2018
9,179,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,1278383,JIWA,2018
9,189,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018-S1,JUMLAH PENDUDUK PEREMPUAN,1278019,JIWA,2018
10,1910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,868821,JIWA,2018
10,2010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018-S1,JUMLAH PENDUDUK PEREMPUAN,863902,JIWA,2018
11,2111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,394721,JIWA,2018
11,2211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,396830,JIWA,2018
12,2312,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,337259,JIWA,2018
12,2412,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,349302,JIWA,2018
13,2513,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,551563,JIWA,2018
13,2613,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,567747,JIWA,2018
14,2714,35,JAWA TIMUR,3575,KOTA PASURUAN,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,792780,JIWA,2018
14,2814,35,JAWA TIMUR,3575,KOTA PASURUAN,2018-S1,JUMLAH PENDUDUK PEREMPUAN,791361,JIWA,2018
15,2915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,937158,JIWA,2018
15,3015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,931420,JIWA,2018
16,3116,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,559270,JIWA,2018
16,3216,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018-S1,JUMLAH PENDUDUK PEREMPUAN,551932,JIWA,2018
17,3317,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,657770,JIWA,2018
17,3417,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018-S1,JUMLAH PENDUDUK PEREMPUAN,647773,JIWA,2018
18,3518,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018-S1,JUMLAH PENDUDUK LAKI  LAKI,557567,JIWA,2018
18,3618,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018-S1,JUMLAH PENDUDUK PEREMPUAN,551554,JIWA,2018
