id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA DOKTER  SPESIALIS,52,ORANG,2018
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KETEKNISAN MEDIS,75,ORANG,2018
1,31,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA DOKTER GIGI,33,ORANG,2018
1,41,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA PERAWAT,619,ORANG,2018
1,51,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KEFARMASIAN,50,ORANG,2018
1,61,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA DOKTER UMUM,141,ORANG,2018
1,71,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA PSIKOLOGI KLINIS,0,ORANG,2018
1,81,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KETERAPIAN FISIK,14,ORANG,2018
1,91,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KESEHATAN MASYARAKAT,41,ORANG,2018
1,101,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA GIZI,50,ORANG,2018
1,111,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA BIDAN,347,ORANG,2018
1,121,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KESEHATAN LINGKUNGAN,12,ORANG,2018
1,131,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA KESEHATAN TRADISIONAL,0,ORANG,2018
1,141,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA TEKNIS BIOMEDIKA,0,ORANG,2018
1,151,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-S2,JUMLAH TENAGA DOKTER GIGI SPESIALIS,7,ORANG,2018
2,162,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KESEHATAN MASYARAKAT,40,ORANG,2018
2,172,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KETERAPIAN FISIK,21,ORANG,2018
2,182,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA PSIKOLOGI KLINIS,0,ORANG,2018
2,192,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA DOKTER UMUM,129,ORANG,2018
2,202,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA GIZI,51,ORANG,2018
2,212,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KEFARMASIAN,51,ORANG,2018
2,222,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA DOKTER GIGI,43,ORANG,2018
2,232,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA DOKTER GIGI SPESIALIS,0,ORANG,2018
2,242,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KESEHATAN LINGKUNGAN,42,ORANG,2018
2,252,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA TEKNIS BIOMEDIKA,0,ORANG,2018
2,262,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA BIDAN,519,ORANG,2018
2,272,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KESEHATAN TRADISIONAL,0,ORANG,2018
2,282,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA DOKTER  SPESIALIS,87,ORANG,2018
2,292,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA PERAWAT,990,ORANG,2018
2,302,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-S2,JUMLAH TENAGA KETEKNISAN MEDIS,113,ORANG,2018
3,313,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA DOKTER UMUM,227,ORANG,2018
3,323,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA GIZI,64,ORANG,2018
3,333,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KETERAPIAN FISIK,8,ORANG,2018
3,343,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KESEHATAN TRADISIONAL,0,ORANG,2018
3,353,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA DOKTER  SPESIALIS,64,ORANG,2018
3,363,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA TEKNIS BIOMEDIKA,0,ORANG,2018
3,373,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA BIDAN,384,ORANG,2018
3,383,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA DOKTER GIGI SPESIALIS,0,ORANG,2018
3,393,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA PSIKOLOGI KLINIS,0,ORANG,2018
3,403,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KETEKNISAN MEDIS,115,ORANG,2018
3,413,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KEFARMASIAN,64,ORANG,2018
3,423,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KESEHATAN MASYARAKAT,49,ORANG,2018
3,433,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA DOKTER GIGI,23,ORANG,2018
3,443,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA KESEHATAN LINGKUNGAN,37,ORANG,2018
3,453,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-S2,JUMLAH TENAGA PERAWAT,792,ORANG,2018
