kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_TENAGA_KESEHATAN
3501,KABUPATEN PACITAN,2018,1441
3502,KABUPATEN PONOROGO,2018,2086
3503,KABUPATEN TRENGGALEK,2018,1827
3504,KABUPATEN TULUNGAGUNG,2018,2520
3505,KABUPATEN BLITAR,2018,2051
3506,KABUPATEN KEDIRI,2018,2658
3507,KABUPATEN MALANG,2018,2579
3508,KABUPATEN LUMAJANG,2018,1947
3509,KABUPATEN JEMBER,2018,4009
3510,KABUPATEN BANYUWANGI,2018,3288
3511,KABUPATEN BONDOWOSO,2018,2078
3512,KABUPATEN SITUBONDO,2018,1222
3513,KABUPATEN PROBOLINGGO,2018,2386
3514,KABUPATEN PASURUAN,2018,2048
3515,KABUPATEN SIDOARJO,2018,7068
3516,KABUPATEN MOJOKERTO,2018,2545
3517,KABUPATEN JOMBANG,2018,3840
3518,KABUPATEN NGANJUK,2018,2214
3519,KABUPATEN MADIUN,2018,1501
3520,KABUPATEN MAGETAN,2018,1956
3521,KABUPATEN NGAWI,2018,2466
3522,KABUPATEN BOJONEGORO,2018,2684
3523,KABUPATEN TUBAN,2018,2021
3524,KABUPATEN LAMONGAN,2018,3840
3525,KABUPATEN GRESIK,2018,2739
3526,KABUPATEN BANGKALAN,2018,2190
3527,KABUPATEN SAMPANG,2018,1750
3528,KABUPATEN PAMEKASAN,2018,2163
3529,KABUPATEN SUMENEP,2018,2053
3571,KOTA KEDIRI,2018,2324
3572,KOTA BLITAR,2018,1095
3573,KOTA MALANG,2018,6025
3574,KOTA PROBOLINGGO,2018,1279
3575,KOTA PASURUAN,2018,963
3576,KOTA MOJOKERTO,2018,657
3577,KOTA MADIUN,2018,2249
3578,KOTA SURABAYA,2018,13588
3579,KOTA BATU,2018,735
3501,KABUPATEN PACITAN,2019,1492
3502,KABUPATEN PONOROGO,2019,2459
3503,KABUPATEN TRENGGALEK,2019,1964
3504,KABUPATEN TULUNGAGUNG,2019,3125
3505,KABUPATEN BLITAR,2019,2075
3506,KABUPATEN KEDIRI,2019,2755
3507,KABUPATEN MALANG,2019,5146
3508,KABUPATEN LUMAJANG,2019,2399
3509,KABUPATEN JEMBER,2019,4077
3510,KABUPATEN BANYUWANGI,2019,3795
3511,KABUPATEN BONDOWOSO,2019,2474
3512,KABUPATEN SITUBONDO,2019,1254
3513,KABUPATEN PROBOLINGGO,2019,2112
3514,KABUPATEN PASURUAN,2019,2434
3515,KABUPATEN SIDOARJO,2019,6030
3516,KABUPATEN MOJOKERTO,2019,3427
3517,KABUPATEN JOMBANG,2019,4109
3518,KABUPATEN NGANJUK,2019,2634
3519,KABUPATEN MADIUN,2019,1700
3520,KABUPATEN MAGETAN,2019,1694
3521,KABUPATEN NGAWI,2019,2638
3522,KABUPATEN BOJONEGORO,2019,3011
3523,KABUPATEN TUBAN,2019,1834
3524,KABUPATEN LAMONGAN,2019,3322
3525,KABUPATEN GRESIK,2019,2702
3526,KABUPATEN BANGKALAN,2019,2567
3527,KABUPATEN SAMPANG,2019,1833
3528,KABUPATEN PAMEKASAN,2019,2332
3529,KABUPATEN SUMENEP,2019,2814
3571,KOTA KEDIRI,2019,2668
3572,KOTA BLITAR,2019,1304
3573,KOTA MALANG,2019,6970
3574,KOTA PROBOLINGGO,2019,2284
3575,KOTA PASURUAN,2019,1097
3576,KOTA MOJOKERTO,2019,736
3577,KOTA MADIUN,2019,2265
3578,KOTA SURABAYA,2019,14467
3579,KOTA BATU,2019,1008
3501,KABUPATEN PACITAN,2020,1559
3502,KABUPATEN PONOROGO,2020,2746
3503,KABUPATEN TRENGGALEK,2020,1835
3504,KABUPATEN TULUNGAGUNG,2020,3130
3505,KABUPATEN BLITAR,2020,2167
3506,KABUPATEN KEDIRI,2020,3441
3507,KABUPATEN MALANG,2020,5209
3508,KABUPATEN LUMAJANG,2020,2747
3509,KABUPATEN JEMBER,2020,4731
3510,KABUPATEN BANYUWANGI,2020,4090
3511,KABUPATEN BONDOWOSO,2020,2138
3512,KABUPATEN SITUBONDO,2020,2009
3513,KABUPATEN PROBOLINGGO,2020,2224
3514,KABUPATEN PASURUAN,2020,2729
3515,KABUPATEN SIDOARJO,2020,6441
3516,KABUPATEN MOJOKERTO,2020,2806
3517,KABUPATEN JOMBANG,2020,3870
3518,KABUPATEN NGANJUK,2020,2685
3519,KABUPATEN MADIUN,2020,1740
3520,KABUPATEN MAGETAN,2020,1670
3521,KABUPATEN NGAWI,2020,2584
3522,KABUPATEN BOJONEGORO,2020,3214
3523,KABUPATEN TUBAN,2020,1978
3524,KABUPATEN LAMONGAN,2020,3643
3525,KABUPATEN GRESIK,2020,3698
3526,KABUPATEN BANGKALAN,2020,2351
3527,KABUPATEN SAMPANG,2020,1218
3528,KABUPATEN PAMEKASAN,2020,2374
3529,KABUPATEN SUMENEP,2020,2416
3571,KOTA KEDIRI,2020,2854
3572,KOTA BLITAR,2020,1397
3573,KOTA MALANG,2020,6716
3574,KOTA PROBOLINGGO,2020,1191
3575,KOTA PASURUAN,2020,1090
3576,KOTA MOJOKERTO,2020,1558
3577,KOTA MADIUN,2020,2358
3578,KOTA SURABAYA,2020,17544
3579,KOTA BATU,2020,1042
3501,KABUPATEN PACITAN,2021,1706
3502,KABUPATEN PONOROGO,2021,3524
3503,KABUPATEN TRENGGALEK,2021,2136
3504,KABUPATEN TULUNGAGUNG,2021,4528
3505,KABUPATEN BLITAR,2021,2689
3506,KABUPATEN KEDIRI,2021,4276
3507,KABUPATEN MALANG,2021,6717
3508,KABUPATEN LUMAJANG,2021,3610
3509,KABUPATEN JEMBER,2021,6427
3510,KABUPATEN BANYUWANGI,2021,4741
3511,KABUPATEN BONDOWOSO,2021,2195
3512,KABUPATEN SITUBONDO,2021,2111
3513,KABUPATEN PROBOLINGGO,2021,2742
3514,KABUPATEN PASURUAN,2021,4283
3515,KABUPATEN SIDOARJO,2021,8476
3516,KABUPATEN MOJOKERTO,2021,3170
3517,KABUPATEN JOMBANG,2021,4543
3518,KABUPATEN NGANJUK,2021,2979
3519,KABUPATEN MADIUN,2021,2001
3520,KABUPATEN MAGETAN,2021,2491
3521,KABUPATEN NGAWI,2021,2911
3522,KABUPATEN BOJONEGORO,2021,3680
3523,KABUPATEN TUBAN,2021,2848
3524,KABUPATEN LAMONGAN,2021,4746
3525,KABUPATEN GRESIK,2021,5406
3526,KABUPATEN BANGKALAN,2021,2328
3527,KABUPATEN SAMPANG,2021,2075
3528,KABUPATEN PAMEKASAN,2021,2606
3529,KABUPATEN SUMENEP,2021,2883
3571,KOTA KEDIRI,2021,3679
3572,KOTA BLITAR,2021,1598
3573,KOTA MALANG,2021,9887
3574,KOTA PROBOLINGGO,2021,1492
3575,KOTA PASURUAN,2021,1305
3576,KOTA MOJOKERTO,2021,1640
3577,KOTA MADIUN,2021,2843
3578,KOTA SURABAYA,2021,28861
3579,KOTA BATU,2021,1259
3501,KABUPATEN PACITAN,2022,1885
