kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,pelayanan_non_rawat_inap,pelayanan_rawat_inap,jumlah_tenaga_kesehatan,jumlah_penyakit_menular,jumlah_penyakit_tidak_menular,jumlah_penduduk
35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,9,15,1441,292,41173,554394
35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,12,19,2086,479,46778,870705
35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,3,19,1827,285,40464,694902
35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,14,18,2520,507,114929,1035290
35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,6,18,2051,392,65232,1157500
35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,29,8,2658,516,43288,1568113
35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,0,39,2579,803,296972,2591795
35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,3,22,1947,222,64334,1039794
35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,33,17,4009,611,81963,2440714
35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,26,19,3288,74,175108,1609677
35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,0,25,2078,304,92623,772297
35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,1,16,1222,238,71467,679993
35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,13,20,2386,283,45539,1162092
35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,16,17,2048,449,294756,1616578
35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,12,14,7068,372,194441,2216804
35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,10,17,2545,473,46130,1108718
35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,14,20,3840,612,53299,1258618
35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,6,14,2214,282,74774,1051900
35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,17,9,1501,138,90553,681394
35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,5,17,1956,186,105269,628924
35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,16,8,2466,874,158925,830090
35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,10,26,2684,658,176376,1246927
35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,26,7,2021,348,80538,1168277
35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,1,32,3840,245,103939,1188913
35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,16,16,2739,296,92798,1299024
35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018,0,22,2190,341,54345,978892
35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,3,18,1750,546,28090,968520
35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,0,20,2163,374,87549,871497
35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,0,30,2053,680,58834,1085227
35,JAWA TIMUR,3571,KOTA KEDIRI,2018,5,4,2324,81,13935,285582
35,JAWA TIMUR,3572,KOTA BLITAR,2018,1,2,1095,147,17175,140971
35,JAWA TIMUR,3573,KOTA MALANG,2018,10,6,6025,246,63169,866118
35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,4,2,1279,64,23470,235211
35,JAWA TIMUR,3575,KOTA PASURUAN,2018,8,0,963,60,28737,199078
35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018,3,2,657,31,47736,128282
35,JAWA TIMUR,3577,KOTA MADIUN,2018,4,2,2249,99,26210,176697
35,JAWA TIMUR,3578,KOTA SURABAYA,2018,41,22,13588,656,489229,2885555
35,JAWA TIMUR,3579,KOTA BATU,2018,2,3,735,80,13292,205788
35,JAWA TIMUR,3501,KABUPATEN PACITAN,2019,9,15,1492,670,29288,555304
35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,12,19,2459,1842,61691,871370
