id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,PELAYANAN RAWAT INAP,15,UNIT,2018
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,PELAYANAN NON RAWAT INAP,9,UNIT,2018
2,32,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,PELAYANAN NON RAWAT INAP,12,UNIT,2018
2,42,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,PELAYANAN RAWAT INAP,19,UNIT,2018
3,53,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,PELAYANAN RAWAT INAP,19,UNIT,2018
3,63,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,PELAYANAN NON RAWAT INAP,3,UNIT,2018
4,74,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,PELAYANAN NON RAWAT INAP,14,UNIT,2018
4,84,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,PELAYANAN RAWAT INAP,18,UNIT,2018
5,95,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,PELAYANAN NON RAWAT INAP,6,UNIT,2018
5,105,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,PELAYANAN RAWAT INAP,18,UNIT,2018
6,116,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,PELAYANAN RAWAT INAP,8,UNIT,2018
6,126,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,PELAYANAN NON RAWAT INAP,29,UNIT,2018
7,137,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,PELAYANAN NON RAWAT INAP,0,UNIT,2018
7,147,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,PELAYANAN RAWAT INAP,39,UNIT,2018
8,158,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,PELAYANAN RAWAT INAP,22,UNIT,2018
8,168,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,PELAYANAN NON RAWAT INAP,3,UNIT,2018
9,179,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,PELAYANAN RAWAT INAP,17,UNIT,2018
9,189,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,PELAYANAN NON RAWAT INAP,33,UNIT,2018
10,1910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,PELAYANAN NON RAWAT INAP,26,UNIT,2018
10,2010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,PELAYANAN RAWAT INAP,19,UNIT,2018
11,2111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,PELAYANAN NON RAWAT INAP,0,UNIT,2018
11,2211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,PELAYANAN RAWAT INAP,25,UNIT,2018
12,2312,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,PELAYANAN RAWAT INAP,16,UNIT,2018
12,2412,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,PELAYANAN NON RAWAT INAP,1,UNIT,2018
13,2513,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,PELAYANAN NON RAWAT INAP,13,UNIT,2018
13,2613,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,PELAYANAN RAWAT INAP,20,UNIT,2018
14,2714,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,PELAYANAN RAWAT INAP,17,UNIT,2018
14,2814,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,PELAYANAN NON RAWAT INAP,16,UNIT,2018
15,2915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,PELAYANAN NON RAWAT INAP,12,UNIT,2018
15,3015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,PELAYANAN RAWAT INAP,14,UNIT,2018
16,3116,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,PELAYANAN RAWAT INAP,17,UNIT,2018
16,3216,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,PELAYANAN NON RAWAT INAP,10,UNIT,2018
17,3317,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,PELAYANAN NON RAWAT INAP,14,UNIT,2018
17,3417,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,PELAYANAN RAWAT INAP,20,UNIT,2018
18,3518,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,PELAYANAN RAWAT INAP,14,UNIT,2018
18,3618,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,PELAYANAN NON RAWAT INAP,6,UNIT,2018
19,3719,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,PELAYANAN NON RAWAT INAP,17,UNIT,2018
19,3819,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,PELAYANAN RAWAT INAP,9,UNIT,2018
20,3920,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,PELAYANAN RAWAT INAP,17,UNIT,2018
20,4020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,PELAYANAN NON RAWAT INAP,5,UNIT,2018
21,4121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,PELAYANAN RAWAT INAP,8,UNIT,2018
21,4221,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,PELAYANAN NON RAWAT INAP,16,UNIT,2018
22,4322,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,PELAYANAN NON RAWAT INAP,10,UNIT,2018
22,4422,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,PELAYANAN RAWAT INAP,26,UNIT,2018
