id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,HIV,15.0,KASUS,2018
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,DEMAM BERDARAH,268.0,KASUS,2018
1,31,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,KUSTA,9.0,KASUS,2018
1,41,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018,COVID 19,0.0,KASUS,2018
2,52,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,COVID 19,0.0,KASUS,2018
2,62,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,KUSTA,36.0,KASUS,2018
2,72,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,DEMAM BERDARAH,443.0,KASUS,2018
2,82,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018,HIV,0.0,KASUS,2018
3,93,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,HIV,2.0,KASUS,2018
3,103,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,DEMAM BERDARAH,276.0,KASUS,2018
3,113,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,KUSTA,7.0,KASUS,2018
3,123,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018,COVID 19,0.0,KASUS,2018
4,134,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,COVID 19,0.0,KASUS,2018
4,144,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,KUSTA,26.0,KASUS,2018
4,154,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,DEMAM BERDARAH,463.0,KASUS,2018
4,164,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018,HIV,18.0,KASUS,2018
5,175,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,HIV,22.0,KASUS,2018
5,185,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,DEMAM BERDARAH,355.0,KASUS,2018
5,195,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,COVID 19,0.0,KASUS,2018
5,205,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2018,KUSTA,15.0,KASUS,2018
6,216,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,KUSTA,30.0,KASUS,2018
6,226,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,COVID 19,0.0,KASUS,2018
6,236,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,DEMAM BERDARAH,486.0,KASUS,2018
6,246,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2018,HIV,0.0,KASUS,2018
7,257,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,HIV,0.0,KASUS,2018
7,267,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,DEMAM BERDARAH,751.0,KASUS,2018
7,277,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,COVID 19,0.0,KASUS,2018
7,287,35,JAWA TIMUR,3507,KABUPATEN MALANG,2018,KUSTA,52.0,KASUS,2018
8,298,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,KUSTA,175.0,KASUS,2018
8,308,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,COVID 19,0.0,KASUS,2018
8,318,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,DEMAM BERDARAH,33.0,KASUS,2018
8,328,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018,HIV,14.0,KASUS,2018
9,339,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,HIV,0.0,KASUS,2018
9,349,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,DEMAM BERDARAH,389.0,KASUS,2018
9,359,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,COVID 19,0.0,KASUS,2018
9,369,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018,KUSTA,222.0,KASUS,2018
10,3710,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,KUSTA,40.0,KASUS,2018
10,3810,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,COVID 19,0.0,KASUS,2018
10,3910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,DEMAM BERDARAH,34.0,KASUS,2018
10,4010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018,HIV,0.0,KASUS,2018
11,4111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,HIV,6.0,KASUS,2018
11,4211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,DEMAM BERDARAH,249.0,KASUS,2018
11,4311,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,COVID 19,0.0,KASUS,2018
11,4411,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018,KUSTA,49.0,KASUS,2018
12,4512,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,KUSTA,104.0,KASUS,2018
12,4612,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,COVID 19,0.0,KASUS,2018
12,4712,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,DEMAM BERDARAH,120.0,KASUS,2018
12,4812,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018,HIV,14.0,KASUS,2018
13,4913,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,HIV,19.0,KASUS,2018
13,5013,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,DEMAM BERDARAH,80.0,KASUS,2018
13,5113,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,KUSTA,184.0,KASUS,2018
13,5213,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2018,COVID 19,0.0,KASUS,2018
14,5314,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,KUSTA,193.0,KASUS,2018
14,5414,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,COVID 19,0.0,KASUS,2018
14,5514,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,DEMAM BERDARAH,191.0,KASUS,2018
14,5614,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2018,HIV,65.0,KASUS,2018
15,5715,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,HIV,44.0,KASUS,2018
15,5815,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,DEMAM BERDARAH,272.0,KASUS,2018
15,5915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,KUSTA,56.0,KASUS,2018
15,6015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018,COVID 19,0.0,KASUS,2018
16,6116,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,HIV,30.0,KASUS,2018
16,6216,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,COVID 19,0.0,KASUS,2018
16,6316,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,DEMAM BERDARAH,406.0,KASUS,2018
16,6416,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2018,KUSTA,37.0,KASUS,2018
17,6517,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,COVID 19,0.0,KASUS,2018
17,6617,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,HIV,7.0,KASUS,2018
17,6717,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,DEMAM BERDARAH,528.0,KASUS,2018
17,6817,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018,KUSTA,77.0,KASUS,2018
18,6918,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,HIV,18.0,KASUS,2018
18,7018,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,COVID 19,0.0,KASUS,2018
18,7118,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,KUSTA,44.0,KASUS,2018
18,7218,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018,DEMAM BERDARAH,220.0,KASUS,2018
19,7319,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,KUSTA,8.0,KASUS,2018
19,7419,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,DEMAM BERDARAH,124.0,KASUS,2018
19,7519,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,HIV,6.0,KASUS,2018
19,7619,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2018,COVID 19,0.0,KASUS,2018
20,7720,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,HIV,0.0,KASUS,2018
20,7820,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,KUSTA,27.0,KASUS,2018
20,7920,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,COVID 19,0.0,KASUS,2018
20,8020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018,DEMAM BERDARAH,159.0,KASUS,2018
21,8121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,KUSTA,31.0,KASUS,2018
21,8221,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,HIV,16.0,KASUS,2018
21,8321,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,DEMAM BERDARAH,827.0,KASUS,2018
21,8421,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018,COVID 19,0.0,KASUS,2018
22,8522,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,DEMAM BERDARAH,589.0,KASUS,2018
22,8622,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,KUSTA,61.0,KASUS,2018
22,8722,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,COVID 19,0.0,KASUS,2018
22,8822,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018,HIV,8.0,KASUS,2018
23,8923,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,DEMAM BERDARAH,153.0,KASUS,2018
23,9023,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,COVID 19,0.0,KASUS,2018
23,9123,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,HIV,23.0,KASUS,2018
23,9223,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018,KUSTA,172.0,KASUS,2018
24,9324,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,KUSTA,99.0,KASUS,2018
24,9424,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,DEMAM BERDARAH,146.0,KASUS,2018
24,9524,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,HIV,0.0,KASUS,2018
24,9624,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018,COVID 19,0.0,KASUS,2018
25,9725,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,HIV,0.0,KASUS,2018
25,9825,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,KUSTA,92.0,KASUS,2018
25,9925,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,COVID 19,0.0,KASUS,2018
25,10025,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018,DEMAM BERDARAH,204.0,KASUS,2018
26,10126,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018,COVID 19,0.0,KASUS,2018
26,10226,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018,HIV,0.0,KASUS,2018
26,10326,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018,DEMAM BERDARAH,114.0,KASUS,2018
26,10426,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018,KUSTA,227.0,KASUS,2018
27,10527,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,DEMAM BERDARAH,214.0,KASUS,2018
27,10627,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,COVID 19,0.0,KASUS,2018
27,10727,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,KUSTA,322.0,KASUS,2018
27,10827,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,HIV,10.0,KASUS,2018
28,10928,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,COVID 19,0.0,KASUS,2018
28,11028,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,DEMAM BERDARAH,176.0,KASUS,2018
28,11128,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,HIV,0.0,KASUS,2018
28,11228,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,KUSTA,198.0,KASUS,2018
29,11329,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,DEMAM BERDARAH,292.0,KASUS,2018
29,11429,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,KUSTA,385.0,KASUS,2018
29,11529,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,COVID 19,0.0,KASUS,2018
29,11629,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,HIV,3.0,KASUS,2018
30,11730,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,HIV,0.0,KASUS,2018
30,11830,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,COVID 19,0.0,KASUS,2018
30,11930,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,DEMAM BERDARAH,80.0,KASUS,2018
30,12030,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,KUSTA,1.0,KASUS,2018
31,12131,35,JAWA TIMUR,3572,KOTA BLITAR,2018,DEMAM BERDARAH,146.0,KASUS,2018
31,12231,35,JAWA TIMUR,3572,KOTA BLITAR,2018,HIV,0.0,KASUS,2018
31,12331,35,JAWA TIMUR,3572,KOTA BLITAR,2018,KUSTA,1.0,KASUS,2018
31,12431,35,JAWA TIMUR,3572,KOTA BLITAR,2018,COVID 19,0.0,KASUS,2018
32,12532,35,JAWA TIMUR,3573,KOTA MALANG,2018,HIV,161.0,KASUS,2018
32,12632,35,JAWA TIMUR,3573,KOTA MALANG,2018,KUSTA,12.0,KASUS,2018
32,12732,35,JAWA TIMUR,3573,KOTA MALANG,2018,COVID 19,0.0,KASUS,2018
32,12832,35,JAWA TIMUR,3573,KOTA MALANG,2018,DEMAM BERDARAH,73.0,KASUS,2018
33,12933,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,KUSTA,19.0,KASUS,2018
33,13033,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,HIV,14.0,KASUS,2018
33,13133,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,DEMAM BERDARAH,31.0,KASUS,2018
