id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3579,KOTA BATU,2018,JUMLAH PENYAKIT HIPERTENSI,10234.0,KASUS,2018
1,21,35,JAWA TIMUR,3579,KOTA BATU,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,3058.0,KASUS,2018
2,32,35,JAWA TIMUR,3578,KOTA SURABAYA,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,175269.0,KASUS,2018
2,42,35,JAWA TIMUR,3578,KOTA SURABAYA,2018,JUMLAH PENYAKIT HIPERTENSI,313960.0,KASUS,2018
3,53,35,JAWA TIMUR,3577,KOTA MADIUN,2018,JUMLAH PENYAKIT HIPERTENSI,16023.0,KASUS,2018
3,63,35,JAWA TIMUR,3577,KOTA MADIUN,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,10187.0,KASUS,2018
4,74,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,5387.0,KASUS,2018
4,84,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018,JUMLAH PENYAKIT HIPERTENSI,42349.0,KASUS,2018
5,95,35,JAWA TIMUR,3575,KOTA PASURUAN,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,10987.0,KASUS,2018
5,105,35,JAWA TIMUR,3575,KOTA PASURUAN,2018,JUMLAH PENYAKIT HIPERTENSI,17750.0,KASUS,2018
6,116,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,JUMLAH PENYAKIT HIPERTENSI,11307.0,KASUS,2018
6,126,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,12163.0,KASUS,2018
7,137,35,JAWA TIMUR,3573,KOTA MALANG,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,21578.0,KASUS,2018
7,147,35,JAWA TIMUR,3573,KOTA MALANG,2018,JUMLAH PENYAKIT HIPERTENSI,41591.0,KASUS,2018
8,158,35,JAWA TIMUR,3572,KOTA BLITAR,2018,JUMLAH PENYAKIT HIPERTENSI,11047.0,KASUS,2018
8,168,35,JAWA TIMUR,3572,KOTA BLITAR,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,6128.0,KASUS,2018
9,179,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,JUMLAH PENYAKIT HIPERTENSI,10453.0,KASUS,2018
9,189,35,JAWA TIMUR,3571,KOTA KEDIRI,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,3482.0,KASUS,2018
10,1910,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,53721.0,KASUS,2018
10,2010,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018,JUMLAH PENYAKIT HIPERTENSI,5113.0,KASUS,2018
11,2111,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,42809.0,KASUS,2018
11,2211,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018,JUMLAH PENYAKIT HIPERTENSI,44740.0,KASUS,2018
12,2312,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,JUMLAH PENYAKIT HIPERTENSI,19992.0,KASUS,2018
12,2412,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018,JUMLAH PENYAKIT DIABETES MELLITIUS,8098.0,KASUS,2018
